id,name,email,rating,country,active,created_at
sup_001,Acme Industrial Supply,acme.industrial.supply@supplier.com,2,CN,true,2019-08-17T13:12:55Z
sup_002,ACME Industrial Supply Inc.,acme.industrial.supply.inc@supplier.com,,IE,true,2024-07-08T01:19:42Z
sup_003,acme industrial,acme.industrial@supplier.com,1.7,DEN,false,2022-07-06T20:05:08Z
sup_004,Pacific Foods Ltd,pacific.foods.ltd@supplier.com,2.9,CZ,true,2022-08-14T16:09:58Z
sup_005,Pacific Foods Limited,pacific.foods.limited@supplier.com,4,GER,false,2021-06-08T11:02:51Z
sup_006,Martinez & Sons LLC,martinez.sons.llc@supplier.com,2,AU,true,2022-01-19T01:54:45Z
sup_007,Martinez and Sons,martinez.and.sons@supplier.com,3.2,CA,true,2021-07-14T10:34:00Z
sup_008,Global Tech Solutions,global.tech.solutions@supplier.com,,BE,true,2023-03-11T17:55:16Z
sup_009,GlobalTech Solutions,globaltech.solutions@supplier.com,1.2,ZA,true,2022-06-13T11:45:07Z
sup_010,Global-Tech Solutions Inc,global.tech.solutions.inc@supplier.com,2.9,PL,false,2019-11-02T12:29:40Z
sup_011,Smith Manufacturing Co,smith.manufacturing.co@supplier.com,4.4,NO,true,2022-12-28T23:48:57Z
sup_012,Smith Manufacturing Company,smith.manufacturing.company@supplier.com,,FR,false,2024-01-14T20:40:46Z
sup_013,Smith Mfg Co.,smith.mfg.co@supplier.com,3.6,ES,true,2020-02-11T17:03:08Z
sup_014,Johnson Supply Chain,johnson.supply.chain@supplier.com,2.5,KR,true,2022-12-12T19:44:00Z
sup_015,Johnson Supply-Chain Ltd,johnson.supply.chain.ltd@supplier.com,4.6,KR,true,2021-05-24T15:18:27Z
sup_016,Eastern Materials Group,eastern.materials.group@supplier.com,1.7,SE,true,2022-01-19T19:26:35Z
sup_017,Eastern Materials Grp,eastern.materials.grp@supplier.com,1.7,IN,false,2024-03-20T16:34:32Z
sup_018,Eastern Materials,eastern.materials@supplier.com,,NZ,true,2019-02-26T00:02:31Z
sup_019,Nordic Components AB,nordic.components.ab@supplier.com,3.5,CA,true,2019-05-24T08:11:44Z
sup_020,Nordic Components,nordic.components@supplier.com,4.4,BRZ,true,2022-05-17T09:35:11Z
sup_021,Precision Parts Inc,precision.parts.inc@supplier.com,3.9,FR,true,2020-12-27T10:35:20Z
sup_022,Precision Parts Incorporated,precision.parts.incorporated@supplier.com,3.8,CZ,true,2021-11-15T22:13:09Z
sup_023,PrecisionParts Inc.,precisionparts.inc@supplier.com,1.1,SE,true,2022-08-28T06:57:13Z
sup_024,Atlas Heavy Industries,atlas.heavy.industries@supplier.com,3,PL,true,2021-03-09T22:37:18Z
sup_025,Atlas Heavy Ind.,atlas.heavy.ind@supplier.com,3.3,CHINA,true,2024-08-16T21:35:51Z
sup_026,Bright Star Electronics,bright.star.electronics@supplier.com,2.8,ES,true,2022-08-18T09:10:00Z
sup_027,BrightStar Electronics,brightstar.electronics@supplier.com,1.1,IN,false,2019-08-08T01:27:41Z
sup_028,Bright-Star Electronics,bright.star.electronics@supplier.com,3.5,CN,true,2021-05-18T11:48:05Z
sup_029,Canyon Creek Supplies,canyon.creek.supplies@supplier.com,4.5,JP,true,2024-12-14T04:39:36Z
sup_030,Canyon Creek Supply Co,canyon.creek.supply.co@supplier.com,1.6,IT,false,2024-07-05T00:51:05Z
sup_031,Delta Force Logistics,delta.force.logistics@supplier.com,3.4,NO,true,2024-07-19T12:54:53Z
sup_032,DeltaForce Logistics,deltaforce.logistics@supplier.com,2.6,CN,true,2023-07-13T07:22:20Z
sup_033,Delta-Force Logistics Inc,delta.force.logistics.inc@supplier.com,3.4,IL,true,2021-07-21T13:24:59Z
sup_034,Eagle Eye Instruments,eagle.eye.instruments@supplier.com,1.2,CN,true,2019-01-04T08:45:31Z
sup_035,EagleEye Instruments,eagleeye.instruments@supplier.com,2.8,IRE,true,2021-09-09T14:15:06Z
sup_036,Falcon Steel Works,falcon.steel.works@supplier.com,1.5,TW,true,2024-01-22T13:03:37Z
sup_037,Falcon Steelworks,falcon.steelworks@supplier.com,1.9,JP,false,2024-06-12T00:23:03Z
sup_038,Falcon Steel Works LLC,falcon.steel.works.llc@supplier.com,,IT,true,2024-10-07T02:11:41Z
sup_039,Solar Wind Systems AG,solar.wind.systems.ag@supplier.com,1,SE,true,2024-11-27T05:08:00Z
sup_040,Storm Lake International Inc,storm.lake.international.inc@supplier.com,1.9,NZ,true,2022-05-03T06:54:59Z
sup_041,Coastal Core Industries AG,coastal.core.industries.ag@supplier.com,4.1,AU,false,2019-05-08T01:38:32Z
sup_042,Valley River Partners Inc,valley.river.partners.inc@supplier.com,1.9,FI,true,2021-02-27T04:13:36Z
sup_043,Valley Coastal Services GmbH,valley.coastal.services.gmbh@supplier.com,3.6,BE,true,2022-11-24T11:46:08Z
sup_044,Elite River Services LLC,elite.river.services.llc@supplier.com,1.4,IT,true,2021-11-08T11:47:20Z
sup_045,Forest Noble Resources Inc,forest.noble.resources.inc@supplier.com,2.5,ES,true,2020-03-01T17:09:15Z
sup_046,Beta Solar Solutions AB,beta.solar.solutions.ab@supplier.com,2.2,AU,true,2023-11-21T15:28:22Z
sup_047,Mountain Wind Manufacturing GmbH,mountain.wind.manufacturing.gmbh@supplier.com,3.6,AT,true,2023-07-28T20:54:35Z
sup_048,Urban Royal Systems Ltd,urban.royal.systems.ltd@supplier.com,1.7,US,true,2020-03-11T23:28:43Z
sup_049,Star Lunar Trading AG,star.lunar.trading.ag@supplier.com,4.6,CA,true,2021-04-18T15:16:53Z
sup_050,Solar Valley International S.A.,solar.valley.international.s.a@supplier.com,4.5,PL,true,2023-11-07T02:50:23Z
